"","months_as_customer","age","policy_number","policy_bind_date","insured_zip","insured_sex","insured_education_level","insured_occupation","insured_relationship","incident_date","incident_type","collision_type","incident_severity","incident_state","incident_city","incident_hour_of_the_day","number_of_vehicles_involved","total_claim_amount","auto_make","auto_model","auto_year","fraud_reported"
"253",242,40,118137,1998-02-10,468702,"FEMALE","High School","transport-moving","husband",2015-01-27,"Vehicle Theft","No collision","Trivial Damage","WV","Springfield",5,"1",99,"Saab","95",1998,0
"254",440,61,212674,1992-09-01,467942,"MALE","PhD","transport-moving","wife",2015-01-26,"Single Vehicle Collision","Side Collision","Major Damage","OH","Riverwood",21,"1",310,"Nissan","Maxima",2004,1
"255",20,23,935596,1999-05-01,463678,"FEMALE","JD","tech-support","wife",2015-01-13,"Multi-vehicle Collision","Rear Collision","Major Damage","SC","Northbrook",21,"3",450,"Chevrolet","Tahoe",2002,1
"256",461,57,737593,1997-12-19,615220,"FEMALE","High School","farming-fishing","own-child",2015-01-14,"Multi-vehicle Collision","Side Collision","Major Damage","NY","Hillsdale",7,"3",385,"Dodge","RAM",1995,0
"257",208,36,812025,2000-06-18,432711,"MALE","Associate","craft-repair","other-relative",2015-02-22,"Multi-vehicle Collision","Side Collision","Total Loss","SC","Arlington",16,"3",263,"Accura","TL",2004,0
"258",279,43,168151,1995-04-24,463583,"MALE","Associate","machine-op-inspct","other-relative",2015-01-17,"Single Vehicle Collision","Side Collision","Major Damage","SC","Columbus",13,"1",368,"Mercedes","C300",2010,1
"259",244,40,594739,2006-06-16,439502,"FEMALE","MD","sales","husband",2015-02-02,"Vehicle Theft","No collision","Trivial Damage","NY","Springfield",2,"1",69,"Toyota","Camry",2014,0
"260",134,30,843227,2007-09-28,613287,"FEMALE","PhD","exec-managerial","unmarried",2015-01-07,"Multi-vehicle Collision","Rear Collision","Major Damage","SC","Northbend",19,"3",235,"Suburu","Impreza",1995,1
"261",122,29,283925,1991-11-21,620104,"FEMALE","Masters","priv-house-serv","other-relative",2015-02-02,"Parked Car","No collision","Trivial Damage","SC","Riverwood",17,"1",23,"Dodge","Neon",2014,0
"262",156,31,475588,1996-09-21,446895,"MALE","PhD","other-service","husband",2015-02-07,"Single Vehicle Collision","Front Collision","Major Damage","NC","Arlington",3,"1",384,"Ford","Fusion",2013,1
"263",232,43,751905,2001-05-16,431531,"MALE","College","machine-op-inspct","husband",2015-01-18,"Multi-vehicle Collision","Rear Collision","Major Damage","NY","Arlington",17,"3",550,"Volkswagen","Passat",2013,1
"264",244,40,226725,1999-08-11,605408,"MALE","Masters","armed-forces","other-relative",2015-01-10,"Multi-vehicle Collision","Side Collision","Minor Damage","SC","Hillsdale",5,"3",425,"Dodge","RAM",2001,0
"265",84,30,942504,2003-06-16,457551,"FEMALE","MD","protective-serv","wife",2015-01-30,"Single Vehicle Collision","Side Collision","Minor Damage","SC","Northbend",9,"1",367,"Volkswagen","Passat",2010,0
"266",394,57,395572,1999-03-30,619892,"FEMALE","High School","craft-repair","own-child",2015-01-25,"Vehicle Theft","No collision","Trivial Damage","NC","Hillsdale",9,"1",87,"Audi","A5",1999,0
"267",246,45,889883,1999-02-03,445853,"MALE","JD","machine-op-inspct","wife",2015-01-29,"Multi-vehicle Collision","Side Collision","Major Damage","PA","Columbus",9,"3",303,"Toyota","Camry",2006,1
"268",35,29,818167,2011-08-25,475483,"FEMALE","JD","handlers-cleaners","unmarried",2015-02-24,"Multi-vehicle Collision","Rear Collision","Minor Damage","SC","Springfield",22,"3",639,"BMW","X5",2009,0
"269",156,37,277767,2010-06-28,606290,"MALE","Associate","protective-serv","other-relative",2015-01-04,"Multi-vehicle Collision","Rear Collision","Major Damage","PA","Springfield",15,"3",180,"Nissan","Pathfinder",2001,0
"270",195,36,842618,2001-11-06,611852,"FEMALE","Associate","machine-op-inspct","wife",2015-02-25,"Multi-vehicle Collision","Front Collision","Total Loss","SC","Hillsdale",14,"3",527,"Chevrolet","Tahoe",2007,0
"271",369,55,577810,2013-04-15,444734,"MALE","College","handlers-cleaners","husband",2015-01-27,"Multi-vehicle Collision","Rear Collision","Minor Damage","VA","Arlington",6,"3",696,"Toyota","Highlander",2003,0
"272",271,40,873114,1995-12-07,433683,"FEMALE","Associate","other-service","wife",2015-02-19,"Parked Car","No collision","Minor Damage","NY","Hillsdale",6,"1",12,"Audi","A3",2012,0
"273",332,47,994538,1991-11-01,448882,"MALE","MD","craft-repair","other-relative",2015-01-31,"Multi-vehicle Collision","Front Collision","Major Damage","WV","Arlington",22,"4",567,"Jeep","Grand Cherokee",2010,1
"274",107,26,727792,2014-05-19,466838,"FEMALE","JD","armed-forces","wife",2015-01-18,"Multi-vehicle Collision","Rear Collision","Minor Damage","NY","Arlington",14,"3",396,"Nissan","Ultima",2002,0
"275",217,39,522506,1992-03-15,605490,"FEMALE","Masters","other-service","other-relative",2015-01-10,"Multi-vehicle Collision","Front Collision","Minor Damage","NY","Columbus",16,"3",478,"Ford","Fusion",1997,0
"276",243,43,367595,2006-02-03,466137,"FEMALE","Associate","machine-op-inspct","own-child",2015-01-28,"Multi-vehicle Collision","Front Collision","Major Damage","SC","Riverwood",10,"3",159,"Jeep","Wrangler",2008,0
"277",296,42,586104,2003-03-16,466970,"MALE","Associate","tech-support","husband",2015-02-16,"Multi-vehicle Collision","Side Collision","Total Loss","WV","Columbus",9,"3",463,"Saab","93",2012,0
"278",264,41,424862,2002-10-16,474801,"MALE","PhD","prof-specialty","unmarried",2015-02-08,"Single Vehicle Collision","Rear Collision","Minor Damage","PA","Northbrook",4,"1",407,"BMW","M5",2004,1
"279",108,33,512813,1990-01-27,450703,"FEMALE","JD","armed-forces","not-in-family",2015-01-20,"Multi-vehicle Collision","Side Collision","Major Damage","WV","Northbend",6,"3",470,"Nissan","Pathfinder",2011,1
"280",32,38,356768,2010-03-11,478172,"FEMALE","College","other-service","own-child",2015-02-06,"Multi-vehicle Collision","Side Collision","Minor Damage","SC","Northbend",15,"3",555,"BMW","X6",1997,0
"281",259,39,330506,1995-09-19,604668,"FEMALE","JD","craft-repair","unmarried",2015-01-24,"Multi-vehicle Collision","Side Collision","Minor Damage","PA","Columbus",12,"3",222,"Nissan","Ultima",2012,0
"282",186,33,779075,2010-02-27,469429,"FEMALE","Associate","craft-repair","wife",2015-01-14,"Vehicle Theft","No collision","Trivial Damage","NY","Arlington",3,"1",39,"Chevrolet","Malibu",2013,1
"283",201,40,799501,1991-12-28,471806,"FEMALE","PhD","transport-moving","not-in-family",2015-02-18,"Vehicle Theft","No collision","Minor Damage","SC","Northbrook",14,"1",86,"Jeep","Grand Cherokee",2003,0
"284",436,58,987905,2002-04-30,475705,"MALE","PhD","tech-support","other-relative",2015-01-10,"Single Vehicle Collision","Rear Collision","Major Damage","WV","Riverwood",10,"1",399,"BMW","X5",1997,1
"285",189,36,967756,2007-04-28,459122,"FEMALE","MD","priv-house-serv","own-child",2015-02-13,"Multi-vehicle Collision","Side Collision","Major Damage","WV","Riverwood",17,"3",653,"Ford","Escape",2009,0
"286",105,33,830414,1996-07-08,476737,"FEMALE","High School","adm-clerical","not-in-family",2015-02-17,"Single Vehicle Collision","Front Collision","Total Loss","VA","Northbrook",8,"1",545,"Accura","MDX",2008,0
"287",163,31,127313,2002-04-01,460359,"MALE","JD","priv-house-serv","not-in-family",2015-01-07,"Multi-vehicle Collision","Rear Collision","Total Loss","SC","Hillsdale",14,"3",461,"Suburu","Forrestor",1999,0
"288",219,40,786957,2006-10-29,452735,"FEMALE","Associate","transport-moving","not-in-family",2015-01-29,"Vehicle Theft","No collision","Trivial Damage","SC","Riverwood",6,"1",79,"Toyota","Camry",1997,0
"289",88,25,332892,2007-10-25,613583,"FEMALE","JD","handlers-cleaners","husband",2015-02-13,"Single Vehicle Collision","Rear Collision","Major Damage","SC","Northbrook",6,"1",498,"Ford","Escape",2013,1
"290",40,39,448642,2001-03-28,605692,"FEMALE","College","sales","own-child",2015-02-01,"Parked Car","No collision","Minor Damage","VA","Northbrook",8,"1",110,"BMW","3 Series",2013,0
"291",284,42,526039,1995-05-04,438178,"MALE","Associate","machine-op-inspct","wife",2015-01-29,"Single Vehicle Collision","Side Collision","Major Damage","NC","Arlington",13,"1",737,"Chevrolet","Malibu",1996,0
"292",59,40,444422,2011-09-28,449221,"MALE","College","protective-serv","other-relative",2015-02-06,"Multi-vehicle Collision","Front Collision","Total Loss","OH","Springfield",0,"3",277,"BMW","X5",2010,0
"293",39,31,689500,2003-01-28,459322,"FEMALE","High School","handlers-cleaners","husband",2015-01-28,"Multi-vehicle Collision","Rear Collision","Major Damage","NC","Northbend",14,"3",297,"BMW","X6",2014,1
"294",147,34,806081,2011-02-01,472657,"MALE","High School","sales","wife",2015-01-21,"Single Vehicle Collision","Side Collision","Minor Damage","NY","Columbus",13,"1",753,"Mercedes","ML350",1998,0
"295",156,37,384618,1993-02-09,608331,"MALE","High School","exec-managerial","unmarried",2015-01-16,"Multi-vehicle Collision","Rear Collision","Minor Damage","NC","Columbus",16,"4",305,"Honda","Civic",2010,1
"296",123,31,756459,2005-08-05,438546,"FEMALE","Associate","prof-specialty","wife",2015-02-17,"Single Vehicle Collision","Side Collision","Total Loss","SC","Northbrook",13,"1",571,"Mercedes","ML350",2009,0
"297",231,43,655787,2006-06-17,441981,"MALE","College","protective-serv","wife",2015-02-01,"Multi-vehicle Collision","Front Collision","Minor Damage","PA","Hillsdale",15,"3",622,"Audi","A3",2010,0
"298",247,39,419954,1993-12-07,602177,"FEMALE","College","handlers-cleaners","wife",2015-02-25,"Parked Car","No collision","Trivial Damage","SC","Northbend",3,"1",15,"Dodge","RAM",2003,0
"299",194,35,275092,2012-03-14,441659,"FEMALE","MD","adm-clerical","not-in-family",2015-02-26,"Parked Car","No collision","Minor Damage","WV","Northbend",7,"1",69,"Nissan","Pathfinder",2003,0
"300",119,27,515698,1997-08-05,614812,"MALE","High School","transport-moving","other-relative",2015-02-06,"Multi-vehicle Collision","Rear Collision","Major Damage","PA","Northbend",16,"2",457,"Accura","TL",2006,0
"301",259,43,132871,2009-07-05,458470,"FEMALE","Masters","farming-fishing","not-in-family",2015-02-03,"Vehicle Theft","No collision","Trivial Damage","SC","Riverwood",15,"1",102,"Audi","A5",2008,0
"302",107,31,714929,1994-11-25,469646,"MALE","Associate","handlers-cleaners","own-child",2015-01-27,"Multi-vehicle Collision","Side Collision","Total Loss","NY","Riverwood",21,"3",736,"Honda","CRV",2001,0
"303",48,44,297816,1997-02-03,611118,"MALE","College","sales","other-relative",2015-01-21,"Multi-vehicle Collision","Rear Collision","Major Damage","NC","Arlington",23,"3",707,"Jeep","Wrangler",2013,0
"304",267,40,426708,2009-10-09,465158,"MALE","JD","transport-moving","wife",2015-01-24,"Parked Car","No collision","Trivial Damage","NY","Columbus",5,"1",61,"Ford","F150",1997,0
"305",286,47,615047,2002-11-20,457130,"MALE","High School","priv-house-serv","husband",2015-01-17,"Multi-vehicle Collision","Rear Collision","Minor Damage","NY","Springfield",15,"3",491,"Accura","TL",2001,0
"306",175,34,771236,1995-05-29,607893,"FEMALE","JD","handlers-cleaners","wife",2015-02-23,"Single Vehicle Collision","Front Collision","Major Damage","NY","Arlington",14,"1",154,"Honda","Accord",2009,1
"307",111,29,235869,2011-01-22,464736,"FEMALE","PhD","farming-fishing","own-child",2015-01-09,"Single Vehicle Collision","Side Collision","Major Damage","SC","Riverwood",1,"1",298,"Mercedes","ML350",1996,1
"308",151,37,931625,2012-10-18,476198,"FEMALE","Associate","protective-serv","unmarried",2015-02-15,"Multi-vehicle Collision","Rear Collision","Total Loss","SC","Arlington",14,"3",387,"Nissan","Maxima",1998,1
"309",156,37,371635,1991-10-13,444903,"MALE","Associate","machine-op-inspct","unmarried",2015-01-16,"Multi-vehicle Collision","Rear Collision","Total Loss","NY","Northbrook",17,"3",627,"Suburu","Legacy",1999,0
"310",165,36,427199,2010-10-01,464336,"MALE","Masters","armed-forces","husband",2015-01-14,"Multi-vehicle Collision","Side Collision","Total Loss","NY","Northbend",20,"3",220,"BMW","3 Series",2008,0
"311",253,41,261315,2013-04-10,471453,"FEMALE","PhD","sales","other-relative",2015-01-01,"Multi-vehicle Collision","Rear Collision","Major Damage","SC","Springfield",10,"3",663,"Toyota","Camry",2014,1
"312",10,26,582973,2008-06-11,466191,"MALE","MD","sales","not-in-family",2015-02-16,"Multi-vehicle Collision","Front Collision","Major Damage","SC","Northbrook",3,"3",130,"Honda","Accord",2001,1
"313",158,33,278091,2013-12-04,440930,"FEMALE","Associate","handlers-cleaners","other-relative",2015-01-04,"Single Vehicle Collision","Side Collision","Total Loss","SC","Hillsdale",0,"1",146,"Suburu","Legacy",2012,0
"314",436,59,153154,2010-08-21,430380,"MALE","PhD","protective-serv","own-child",2015-01-12,"Multi-vehicle Collision","Side Collision","Total Loss","WV","Hillsdale",10,"3",513,"Toyota","Corolla",2014,0
"315",91,30,515217,2010-06-18,613178,"FEMALE","Masters","machine-op-inspct","unmarried",2015-01-08,"Multi-vehicle Collision","Side Collision","Minor Damage","SC","Northbend",13,"3",688,"BMW","X6",2009,0
"316",256,42,860497,1992-04-10,460564,"FEMALE","MD","transport-moving","wife",2015-01-22,"Single Vehicle Collision","Rear Collision","Minor Damage","WV","Northbend",14,"1",602,"Nissan","Ultima",1998,0
"317",274,46,351741,1997-02-03,439929,"MALE","High School","exec-managerial","not-in-family",2015-01-13,"Multi-vehicle Collision","Side Collision","Total Loss","WV","Riverwood",22,"3",726,"BMW","X5",2009,0
"318",275,45,403737,1991-12-06,605756,"FEMALE","Associate","adm-clerical","wife",2015-01-18,"Multi-vehicle Collision","Side Collision","Total Loss","VA","Northbend",8,"3",469,"Accura","MDX",1998,0
"319",1,33,162004,1995-09-19,451184,"FEMALE","High School","transport-moving","not-in-family",2015-01-19,"Multi-vehicle Collision","Rear Collision","Minor Damage","NY","Northbend",1,"3",132,"Toyota","Highlander",2006,0
"320",85,30,740384,1993-10-29,459588,"MALE","Associate","protective-serv","other-relative",2015-01-31,"Single Vehicle Collision","Side Collision","Major Damage","NY","Springfield",19,"1",592,"Suburu","Forrestor",2006,1
"321",233,37,876714,1991-11-03,616637,"FEMALE","High School","sales","wife",2015-02-06,"Single Vehicle Collision","Front Collision","Total Loss","NY","Columbus",17,"1",662,"Toyota","Corolla",2005,0
"322",142,30,951543,2002-07-09,447979,"MALE","JD","adm-clerical","husband",2015-02-04,"Multi-vehicle Collision","Rear Collision","Major Damage","SC","Hillsdale",13,"3",456,"Dodge","RAM",2010,0
"323",266,44,576723,1999-12-07,460176,"MALE","High School","handlers-cleaners","husband",2015-01-02,"Single Vehicle Collision","Front Collision","Total Loss","WV","Riverwood",4,"1",137,"BMW","3 Series",2012,0
"324",350,50,391003,2005-07-01,459429,"FEMALE","Masters","priv-house-serv","other-relative",2015-02-26,"Multi-vehicle Collision","Rear Collision","Total Loss","PA","Northbend",14,"3",201,"Audi","A3",2015,0
"325",97,26,225865,1991-11-04,465456,"MALE","College","exec-managerial","not-in-family",2015-02-08,"Multi-vehicle Collision","Rear Collision","Major Damage","VA","Springfield",4,"2",261,"Honda","CRV",2000,1
"326",399,55,984948,1993-04-14,464665,"MALE","JD","tech-support","not-in-family",2015-02-07,"Multi-vehicle Collision","Side Collision","Total Loss","NY","Northbend",23,"3",714,"Nissan","Pathfinder",2010,0
"327",305,49,890328,2009-08-23,430853,"FEMALE","High School","farming-fishing","own-child",2015-02-17,"Multi-vehicle Collision","Front Collision","Total Loss","NY","Hillsdale",21,"3",495,"Volkswagen","Jetta",2003,0
"328",276,47,803294,1993-06-18,615712,"MALE","PhD","craft-repair","own-child",2015-01-12,"Multi-vehicle Collision","Rear Collision","Minor Damage","NY","Arlington",23,"3",489,"Chevrolet","Tahoe",2014,0
"329",257,40,414913,2012-07-17,608228,"MALE","MD","armed-forces","husband",2015-02-01,"Multi-vehicle Collision","Side Collision","Major Damage","NY","Columbus",6,"3",284,"Audi","A3",2002,1
"330",78,31,414519,1999-01-25,457535,"MALE","PhD","protective-serv","own-child",2015-02-03,"Single Vehicle Collision","Front Collision","Major Damage","WV","Springfield",21,"1",341,"Honda","CRV",2009,1
"331",129,28,818413,1990-02-23,442540,"MALE","Masters","machine-op-inspct","not-in-family",2015-02-21,"Single Vehicle Collision","Side Collision","Major Damage","NY","Springfield",23,"1",208,"Toyota","Camry",2005,0
"332",283,46,487356,2000-08-30,455332,"FEMALE","PhD","transport-moving","husband",2015-01-09,"Multi-vehicle Collision","Front Collision","Major Damage","NY","Riverwood",3,"3",628,"Nissan","Maxima",2004,1
"333",85,25,159768,2008-09-03,439534,"FEMALE","JD","tech-support","unmarried",2015-02-16,"Parked Car","No collision","Trivial Damage","SC","Northbend",8,"1",60,"Nissan","Ultima",2005,0
"334",101,26,865839,1991-08-02,462420,"FEMALE","MD","prof-specialty","husband",2015-02-04,"Parked Car","No collision","Trivial Damage","VA","Arlington",4,"1",13,"Suburu","Legacy",1995,0
"335",96,30,406567,2001-09-25,448913,"MALE","College","prof-specialty","wife",2015-02-24,"Single Vehicle Collision","Side Collision","Total Loss","NC","Arlington",22,"1",306,"Ford","Escape",2004,0
"336",121,31,623032,2007-03-11,440837,"FEMALE","JD","armed-forces","unmarried",2015-02-01,"Single Vehicle Collision","Rear Collision","Minor Damage","WV","Hillsdale",16,"1",482,"BMW","3 Series",2002,0
"337",176,39,935442,2010-11-20,466634,"MALE","College","armed-forces","unmarried",2015-02-05,"Multi-vehicle Collision","Side Collision","Minor Damage","SC","Columbus",14,"3",205,"Chevrolet","Silverado",2008,0
"338",159,37,106873,1998-08-28,446435,"MALE","Associate","tech-support","wife",2015-01-07,"Single Vehicle Collision","Rear Collision","Total Loss","NY","Springfield",13,"1",545,"Dodge","RAM",1999,0
"339",120,30,563878,2002-07-16,438237,"FEMALE","Associate","priv-house-serv","husband",2015-02-06,"Single Vehicle Collision","Front Collision","Minor Damage","NY","Hillsdale",20,"1",705,"Saab","92x",2000,0
"340",212,35,620855,1990-04-29,468313,"MALE","MD","priv-house-serv","unmarried",2015-01-21,"Multi-vehicle Collision","Front Collision","Total Loss","NY","Columbus",0,"3",260,"Suburu","Forrestor",1996,0
"341",290,45,583169,1998-02-01,476303,"FEMALE","JD","sales","wife",2015-03-01,"Multi-vehicle Collision","Side Collision","Total Loss","VA","Arlington",23,"3",475,"Audi","A3",2014,1
"342",299,42,337677,2008-07-20,450339,"FEMALE","Associate","craft-repair","wife",2015-02-24,"Single Vehicle Collision","Rear Collision","Minor Damage","SC","Columbus",13,"1",546,"BMW","3 Series",2000,0
"343",66,26,445973,1998-11-13,476502,"MALE","College","armed-forces","own-child",2015-02-02,"Single Vehicle Collision","Rear Collision","Major Damage","NY","Northbend",8,"1",371,"Suburu","Impreza",2008,1
"344",334,47,156694,2001-05-24,600561,"MALE","Masters","protective-serv","other-relative",2015-01-31,"Vehicle Theft","No collision","Minor Damage","WV","Northbend",3,"1",77,"Ford","Fusion",2011,0
"345",216,38,421940,2014-06-03,600754,"FEMALE","Associate","tech-support","unmarried",2015-01-09,"Single Vehicle Collision","Rear Collision","Total Loss","VA","Columbus",16,"1",496,"Jeep","Grand Cherokee",2012,1
"346",86,28,613226,1991-08-22,439304,"MALE","PhD","transport-moving","unmarried",2015-02-23,"Single Vehicle Collision","Side Collision","Minor Damage","VA","Hillsdale",19,"1",556,"Jeep","Wrangler",2002,0
"347",429,56,804410,1998-12-12,460722,"MALE","Associate","machine-op-inspct","own-child",2015-01-28,"Single Vehicle Collision","Rear Collision","Minor Damage","WV","Springfield",0,"1",166,"Suburu","Forrestor",2002,0
"348",257,43,553565,1999-02-18,618632,"FEMALE","PhD","handlers-cleaners","husband",2015-01-14,"Single Vehicle Collision","Front Collision","Total Loss","VA","Arlington",12,"1",449,"Mercedes","E400",2005,0
"349",15,34,399524,1997-10-30,452204,"MALE","JD","tech-support","not-in-family",2015-02-03,"Multi-vehicle Collision","Side Collision","Total Loss","SC","Arlington",21,"3",510,"Audi","A5",2009,0
"350",230,39,331595,1999-11-29,454530,"FEMALE","MD","craft-repair","unmarried",2015-02-17,"Single Vehicle Collision","Front Collision","Major Damage","SC","Riverwood",0,"1",591,"Accura","TL",2002,1
"351",250,43,380067,2013-07-07,474848,"FEMALE","JD","tech-support","own-child",2015-01-30,"Single Vehicle Collision","Side Collision","Minor Damage","VA","Columbus",22,"1",477,"Volkswagen","Jetta",2011,0
"352",270,44,701521,2003-07-05,435985,"FEMALE","Associate","machine-op-inspct","other-relative",2015-02-03,"Multi-vehicle Collision","Rear Collision","Major Damage","NC","Northbend",20,"3",150,"Audi","A3",2007,1
"353",65,26,360770,2005-09-21,457942,"FEMALE","High School","craft-repair","unmarried",2015-02-03,"Single Vehicle Collision","Rear Collision","Minor Damage","VA","Riverwood",0,"1",290,"Honda","CRV",2011,0
"354",475,57,958785,1995-02-18,436522,"MALE","Masters","adm-clerical","own-child",2015-01-31,"Single Vehicle Collision","Front Collision","Minor Damage","SC","Hillsdale",20,"1",634,"Suburu","Forrestor",2000,0
"355",77,27,797934,1999-04-07,471704,"FEMALE","High School","adm-clerical","own-child",2015-02-06,"Multi-vehicle Collision","Front Collision","Minor Damage","NY","Springfield",1,"3",504,"Volkswagen","Passat",1995,0
"356",256,43,883980,2014-12-13,455810,"FEMALE","MD","prof-specialty","unmarried",2015-02-06,"Single Vehicle Collision","Rear Collision","Total Loss","WV","Hillsdale",11,"1",450,"Nissan","Ultima",1997,0
"357",229,37,340614,1997-06-01,446544,"FEMALE","MD","craft-repair","not-in-family",2015-01-29,"Multi-vehicle Collision","Side Collision","Major Damage","WV","Columbus",14,"3",526,"Ford","Fusion",1995,0
"358",110,28,435784,2013-07-13,461919,"MALE","College","other-service","other-relative",2015-01-07,"Multi-vehicle Collision","Side Collision","Minor Damage","NY","Springfield",20,"3",479,"Suburu","Impreza",2010,0
"359",177,33,563837,2002-12-30,470128,"MALE","College","adm-clerical","wife",2015-01-20,"Single Vehicle Collision","Side Collision","Major Damage","SC","Springfield",22,"1",682,"Jeep","Grand Cherokee",2004,1
"360",292,44,200827,1997-02-28,462836,"MALE","PhD","priv-house-serv","unmarried",2015-02-28,"Single Vehicle Collision","Side Collision","Total Loss","SC","Columbus",12,"1",430,"Saab","93",2005,0
"361",451,61,533941,1998-06-18,475407,"FEMALE","Associate","transport-moving","unmarried",2015-02-04,"Multi-vehicle Collision","Rear Collision","Major Damage","OH","Columbus",3,"3",635,"Chevrolet","Tahoe",1997,1
"362",61,24,265026,1996-02-08,473611,"FEMALE","College","priv-house-serv","other-relative",2015-01-12,"Multi-vehicle Collision","Rear Collision","Major Damage","SC","Northbend",15,"3",487,"Toyota","Highlander",2011,1
"363",150,30,354481,2004-11-17,608425,"MALE","MD","prof-specialty","own-child",2015-02-28,"Parked Car","No collision","Trivial Damage","VA","Arlington",8,"1",33,"Saab","93",1999,0
"364",283,41,566720,2012-10-25,476227,"FEMALE","Associate","sales","own-child",2015-01-08,"Multi-vehicle Collision","Side Collision","Major Damage","WV","Northbend",13,"3",191,"Mercedes","ML350",2011,1
"365",291,46,832746,2006-04-13,452701,"FEMALE","High School","adm-clerical","own-child",2015-01-25,"Parked Car","No collision","Minor Damage","SC","Hillsdale",8,"1",57,"Volkswagen","Passat",2005,1
"366",162,31,386690,2006-02-21,456789,"FEMALE","Masters","adm-clerical","wife",2015-02-26,"Parked Car","No collision","Minor Damage","NC","Arlington",7,"1",18,"BMW","X5",2013,1
"367",154,36,979285,2003-12-17,600904,"FEMALE","Masters","exec-managerial","own-child",2015-02-03,"Vehicle Theft","No collision","Trivial Damage","SC","Northbrook",9,"1",9,"Volkswagen","Passat",2015,0
"368",289,47,594722,1999-07-31,450889,"FEMALE","Associate","adm-clerical","own-child",2015-01-31,"Single Vehicle Collision","Front Collision","Minor Damage","VA","Northbend",15,"1",316,"Toyota","Highlander",1996,0
"369",10,19,216738,2014-08-05,478837,"FEMALE","JD","craft-repair","wife",2015-02-01,"Single Vehicle Collision","Side Collision","Minor Damage","NC","Northbend",5,"1",247,"Accura","TL",2011,1
"370",309,47,369048,2011-06-05,611322,"MALE","PhD","exec-managerial","other-relative",2015-02-21,"Multi-vehicle Collision","Rear Collision","Major Damage","WV","Northbend",15,"4",631,"Dodge","RAM",2002,0
"371",396,57,514424,1992-10-11,438180,"MALE","High School","protective-serv","other-relative",2015-01-30,"Multi-vehicle Collision","Front Collision","Major Damage","NC","Columbus",22,"3",295,"Saab","93",1995,0
"372",273,41,954191,2010-02-17,449793,"FEMALE","PhD","farming-fishing","own-child",2015-01-31,"Multi-vehicle Collision","Side Collision","Total Loss","VA","Riverwood",16,"2",200,"Honda","Accord",2015,0
"373",129,30,150181,2007-05-06,450730,"FEMALE","PhD","sales","husband",2015-01-13,"Single Vehicle Collision","Front Collision","Total Loss","SC","Hillsdale",7,"1",593,"Suburu","Forrestor",2009,0
"374",140,31,388671,1997-05-01,608758,"FEMALE","JD","armed-forces","wife",2015-02-16,"Parked Car","No collision","Minor Damage","WV","Arlington",2,"1",74,"Honda","Civic",2002,1
"375",419,53,457244,1998-01-28,445339,"MALE","College","transport-moving","unmarried",2015-02-04,"Multi-vehicle Collision","Side Collision","Minor Damage","SC","Northbend",17,"4",435,"Suburu","Forrestor",2012,0
"376",315,44,206667,1993-05-05,438328,"FEMALE","Masters","sales","other-relative",2015-02-07,"Multi-vehicle Collision","Front Collision","Total Loss","NY","Springfield",12,"3",121,"Volkswagen","Jetta",2006,0
"377",72,29,745200,1994-08-06,479913,"FEMALE","Associate","craft-repair","own-child",2015-01-16,"Single Vehicle Collision","Rear Collision","Major Damage","WV","Arlington",9,"1",492,"Dodge","Neon",2013,0
"378",32,26,412703,2014-11-14,460760,"MALE","JD","other-service","not-in-family",2015-02-28,"Single Vehicle Collision","Side Collision","Total Loss","VA","Northbrook",16,"1",217,"Toyota","Corolla",2009,0
"379",230,41,736771,1991-12-14,444797,"MALE","JD","transport-moving","own-child",2015-02-08,"Multi-vehicle Collision","Side Collision","Minor Damage","NY","Springfield",19,"3",300,"Audi","A3",2006,0
"380",157,32,347984,2009-10-21,436711,"MALE","College","other-service","other-relative",2015-01-02,"Multi-vehicle Collision","Front Collision","Major Damage","VA","Columbus",14,"3",265,"Mercedes","E400",2013,1
"381",265,41,626074,1997-09-29,432491,"FEMALE","Associate","craft-repair","own-child",2015-01-13,"Multi-vehicle Collision","Side Collision","Total Loss","SC","Northbend",18,"3",202,"Audi","A5",2014,0
"382",47,34,218109,2003-12-31,617527,"FEMALE","PhD","exec-managerial","other-relative",2015-01-07,"Single Vehicle Collision","Front Collision","Minor Damage","SC","Springfield",23,"1",445,"Chevrolet","Malibu",2012,0
"383",113,29,999435,2008-01-01,601213,"MALE","PhD","exec-managerial","not-in-family",2015-01-05,"Multi-vehicle Collision","Rear Collision","Minor Damage","NY","Springfield",15,"3",256,"Nissan","Ultima",2004,1
"384",289,46,858060,2004-05-31,604138,"MALE","JD","armed-forces","unmarried",2015-02-28,"Single Vehicle Collision","Rear Collision","Minor Damage","NC","Arlington",18,"1",353,"BMW","3 Series",1995,1
"385",254,41,500384,2013-12-18,431361,"FEMALE","Masters","protective-serv","own-child",2015-01-04,"Single Vehicle Collision","Front Collision","Minor Damage","NY","Riverwood",16,"1",751,"Audi","A5",2014,0
"386",115,30,903785,2000-08-24,477695,"MALE","High School","prof-specialty","wife",2015-02-02,"Multi-vehicle Collision","Front Collision","Minor Damage","NY","Northbend",12,"3",250,"Ford","F150",2007,0
"387",236,38,873859,1992-10-14,612597,"FEMALE","College","other-service","not-in-family",2015-02-23,"Single Vehicle Collision","Side Collision","Major Damage","WV","Northbrook",16,"1",499,"Mercedes","E400",2014,0
